Known As,Full Name,Best Position,Nationality,Club Name
S. McTominay,Scott McTominay,CDM,Scotland,Manchester United
L. Majer,Lovro Majer,CAM,Croatia,Stade Rennais FC
W. Saliba,William Saliba,CB,France,Arsenal
D. Livaković,Dominik Livaković,GK,Croatia,Dinamo Zagreb
R. Baku,Ridle Baku,RM,Germany,VfL Wolfsburg
N. González,Nicolás González,LM,Argentina,Fiorentina
E. Smith Rowe,Emile Smith Rowe,CAM,England,Arsenal
J. Clauss,Jonathan Clauss,RWB,France,Olympique de Marseille
W. McKennie,Weston McKennie,CM,United States,Juventus
N. Milenković,Nikola Milenković,CB,Serbia,Fiorentina
N. Aguerd,Nayef Aguerd,CB,Morocco,West Ham United
Nélson Semedo,Nélson Cabral Semedo,RWB,Portugal,Wolverhampton Wanderers
C. Aránguiz,Charles Aránguiz,CDM,Chile,Bayer 04 Leverkusen
Lucas Moura,Lucas Rodrigues M. Silva,RW,Brazil,Tottenham Hotspur
Jonathan Viera,Jonathan Viera Ramos,CAM,Spain,Unión Deportiva Las Palmas
Danilo,Danilo Luiz da Silva,RB,Brazil,Juventus
Sergi Roberto,Sergio Roberto Carnicer,RB,Spain,FC Barcelona
Allan,Allan Marques Loureiro,CDM,Brazil,Everton
J. Cillessen,Jasper Cillessen,GK,Netherlands,N.E.C. Nijmegen
H. Vanaken,Hans Vanaken,CM,Belgium,Club Brugge KV
S. Ortega,Stefan Ortega,GK,Germany,Manchester City
Danilo Pereira,Danilo Luís Hélio Pereira,CDM,Portugal,Paris Saint-Germain
Morata,Álvaro Borja Morata Martín,ST,Spain,Atlético de Madrid
L. Shaw,Luke Shaw,LB,England,Manchester United
C. Biraghi,Cristiano Biraghi,LB,Italy,Fiorentina
E. Dier,Eric Dier,CB,England,Tottenham Hotspur
Deulofeu,Gerard Deulofeu Lázaro,RW,Spain,Udinese Calcio
T. Hazard,Thorgan Hazard,LM,Belgium,Borussia Dortmund
T. Vaclík,Tomáš Vaclík,GK,Czech Republic,Free agent
Edgar Badia,Edgar Badia Guardiola,GK,Spain,Elche CF
K. Zouma,Kurt Zouma,CB,France,West Ham United
M. Sabitzer,Marcel Sabitzer,CM,Austria,FC Bayern München
K. Kampl,Kevin Kampl,CM,Slovenia,RB Leipzig
A. Delort,Andy Delort,ST,Algeria,OGC Nice
B. Leno,Bernd Leno,GK,Germany,Fulham
Alex Sandro,Alex Sandro Lobo Silva,LB,Brazil,Juventus
Yeray,Yeray Álvarez López,CB,Spain,Athletic Club de Bilbao
G. Ochoa,Guillermo Ochoa,GK,Mexico,Free agent
H. Herrera,Héctor Herrera,CM,Mexico,Houston Dynamo
A. Consigli,Andrea Consigli,GK,Italy,U.S. Sassuolo Calcio
Raúl García,Raúl García Escudero,CM,Spain,Athletic Club de Bilbao
José Fonte,José Miguel da Rocha Fonte,CB,Portugal,LOSC Lille
M. Hamšík,Marek Hamšík,CM,Slovakia,Trabzonspor
A. Candreva,Antonio Candreva,RM,Italy,US Salernitana 1919
S. Mignolet,Simon Mignolet,GK,Belgium,Club Brugge KV
Joselu,José Luis Sanmartín Mato,ST,Spain,RCD Espanyol de Barcelona
D. Ospina,David Ospina,GK,Colombia,Al Nassr
E. Capoue,Etienne Capoue,CM,France,Villarreal CF
G. Wijnaldum,Georginio Wijnaldum,CM,Netherlands,Roma
M. Kruse,Max Kruse,CAM,Germany,VfL Wolfsburg
M. Darmian,Matteo Darmian,RWB,Italy,Inter
F. Coquelin,Francis Coquelin,CM,France,Villarreal CF
D. Blind,Daley Blind,CDM,Netherlands,Ajax
A. Cragno,Alessio Cragno,GK,Italy,AC Monza
R. Freuler,Remo Freuler,CM,Switzerland,Nottingham Forest
M. Arnold,Maximilian Arnold,CM,Germany,VfL Wolfsburg
V. Lindelöf,Victor Lindelöf,CDM,Sweden,Manchester United
Álex Moreno,Alexandre Moreno Lopera,LB,Spain,Real Betis Balompié
M. Dahoud,Mahmoud Dahoud,CM,Germany,Borussia Dortmund
J. Ledesma,Jeremías Conan Ledesma,GK,Argentina,Cádiz CF
H. Traoré,Hamari Traoré,RB,Mali,Stade Rennais FC
A. Rebić,Ante Rebić,ST,Croatia,AC Milan
H. Hateboer,Hans Hateboer,RWB,Netherlands,Atalanta
Kepa,Kepa Arrizabalaga,GK,Spain,Chelsea
D. Calvert-Lewin,Dominic Calvert-Lewin,ST,England,Everton
L. Klostermann,Lukas Klostermann,RB,Germany,RB Leipzig
J. Correa,Joaquín Correa,RW,Argentina,Inter
R. Karsdorp,Rick Karsdorp,RWB,Netherlands,Roma
Joan Jordán,Joan Jordán Moreno,CM,Spain,Sevilla FC
J. Bowen,Jarrod Bowen,LM,England,West Ham United
Álex Berenguer,Alejandro Berenguer Remiro,RM,Spain,Athletic Club de Bilbao
S. Bergwijn,Steven Bergwijn,CAM,Netherlands,Ajax
E. Buendía,Emiliano Buendía,CAM,Argentina,Aston Villa
U. Çakır,Uğurcan Çakır,GK,Turkey,Trabzonspor
G. Scamacca,Gianluca Scamacca,ST,Italy,West Ham United
Morales,José Luis Morales Nogales,LM,Spain,Villarreal CF
M. Dúbravka,Martin Dúbravka,GK,Slovakia,Manchester United
W. Benítez,Walter Benítez,GK,Argentina,PSV
L. Paredes,Leandro Paredes,CDM,Argentina,Juventus
S. Azmoun,Sardar Azmoun,ST,Iran,Bayer 04 Leverkusen
William Carvalho,William Silva de Carvalho,CDM,Portugal,Real Betis Balompié
B. Cristante,Bryan Cristante,CM,Italy,Roma
Saúl,Saúl Ñíguez Esclápez,CM,Spain,Atlético de Madrid
M. de Roon,Marten de Roon,CB,Netherlands,Atalanta
A. Belotti,Andrea Belotti,ST,Italy,Roma
Fred,Frederico de Paula Santos,CM,Brazil,Manchester United
C. Günter,Christian Günter,LB,Germany,Sport-Club Freiburg
A. Rabiot,Adrien Rabiot,CM,France,Juventus
Rui Silva,Rui Tiago Dantas da Silva,GK,Portugal,Real Betis Balompié
A. Romagnoli,Alessio Romagnoli,CB,Italy,Lazio
Carles Gil,Carles Gil Pareja,CAM,Spain,New England Revolution
A. Martial,Anthony Martial,ST,France,Manchester United
M. Dembélé,Moussa Dembélé,ST,France,Olympique Lyonnais
M. Flekken,Mark Flekken,GK,Netherlands,Sport-Club Freiburg
Alex Telles,Alex Nicolao Telles,LB,Brazil,Sevilla FC
A. Gouiri,Amine Gouiri,CAM,France,Stade Rennais FC
N. Maksimović,Nemanja Maksimović,CM,Serbia,Getafe CF
Unai Núñez,Unai Núñez Gestoso,CB,Spain,RC Celta de Vigo
O. Kökçü,Orkun Kökçü,CAM,Turkey,Feyenoord
A. Nwakaeme,Anthony Nwakaeme,LM,Nigeria,Al Fayha
Luis Milla,Luis Milla Manzanares,CDM,Spain,Getafe CF
T. Malacia,Tyrell Malacia,LWB,Netherlands,Manchester United
J. David,Jonathan David,ST,Canada,LOSC Lille
C. Gallagher,Conor Gallagher,CM,England,Chelsea
A. Sánchez,Alexis Sánchez,CAM,Chile,Olympique de Marseille
P. Estupiñán,Pervis Estupiñán,LB,Ecuador,Brighton & Hove Albion
J. Foyth,Juan Foyth,CB,Argentina,Villarreal CF
Kim Min Jae,Min Jae Kim,CB,Korea Republic,Napoli
D. Szoboszlai,Dominik Szoboszlai,CAM,Hungary,RB Leipzig
David Neres,David Neres Campos,CAM,Brazil,SL Benfica
A. Ogbonna,Angelo Ogbonna,CB,Italy,West Ham United
J. Boateng,Jérôme Boateng,CB,Germany,Olympique Lyonnais
Y. Fofana,Youssouf Fofana,CDM,France,AS Monaco
L. Stindl,Lars Stindl,CAM,Germany,Borussia Mönchengladbach
Luís Maximiano,Luís Manuel Arantes Maximiano,GK,Portugal,Lazio
Diego López,Diego López Rodríguez,GK,Spain,Rayo Vallecano
R. Gravenberch,Ryan Gravenberch,CAM,Netherlands,FC Bayern München
Ansu Fati,Anssumane Fati,CAM,Spain,FC Barcelona
Pedro,Pedro Rodríguez Ledesma,CAM,Spain,Lazio
G. Goodman,George Goodman,LB,England,AFC Richmond
M. Bumbercatch,Moe Bumbercatch,CM,England,AFC Richmond
Gavi,Pablo Martín Páez Gavira,CAM,Spain,FC Barcelona
Yeremy Pino,Yeremy Jesús Pino Santos,CAM,Spain,Villarreal CF
Gonçalo Inácio,Gonçalo Bernardo Inácio,CB,Portugal,Sporting CP
Vitinha,Vítor Machado Ferreira,CAM,Portugal,Paris Saint-Germain
Matheus Nunes,Matheus Luiz Nunes,CAM,Portugal,Wolverhampton Wanderers
G. Raspadori,Giacomo Raspadori,CAM,Italy,Napoli
S. Chukwueze,Samuel Chukwueze,LM,Nigeria,Villarreal CF
A. Musrati,Ali Musrati,CDM,Libya,SC Braga
Beto,Norberto Gomes Betuncal,ST,Portugal,Udinese Calcio
W. Fofana,Wesley Fofana,CB,France,Chelsea
E. Camavinga,Eduardo Camavinga,CDM,France,Real Madrid CF
Zubimendi,Martín Zubimendi Ibáñez,CM,Spain,Real Sociedad
Ibañez,Roger Ibañez Da Silva,CB,Brazil,Roma
M. Caqueret,Maxence Caqueret,CM,France,Olympique Lyonnais
B. Dia,Boulaye Dia,ST,Senegal,US Salernitana 1919
M. Lanzini,Manuel Lanzini,CAM,Argentina,West Ham United
Guaita,Vicente Guaita Panadero,GK,Spain,Crystal Palace
A. Talavera,Alfredo Talavera,GK,Mexico,Free agent
R. Bentancur,Rodrigo Bentancur,CDM,Uruguay,Tottenham Hotspur
G. Montiel,Gonzalo Montiel,RWB,Argentina,Sevilla FC
L. Blas,Ludovic Blas,CAM,France,FC Nantes
Matheus Reis,Matheus Reis de Lima,CB,Brazil,Sporting CP
Luimo Boas Santos,Luan Vágner Boas Macedo,CF,Brazil,Santos
Gabri Prestão,Bernard Gabriel Prestão Chaves,GK,Brazil,Internacional
Melvin Parrela,Melvin Luan Parrela Porfírio,CB,Brazil,RB Bragantino
Jorge Andrão,Everton Jorge Andrade Zanon,CDM,Brazil,Fluminense
Adnan Vidual,Adnan Claudiano Vidual Machado,RB,Brazil,Internacional
Diego Essler,Ronaldo Diego Essler Domingues,LB,Brazil,Clube Atlético Mineiro
Emelvinson,Emelvin William Anjos Rochedo,GK,Brazil,RB Bragantino
E. Ávila,Ezequiel Ávila,ST,Argentina,CA Osasuna
O. Zinchenko,Oleksandr Zinchenko,CM,Ukraine,Arsenal
E. Konsa,Ezri Konsa,CB,England,Aston Villa
A. Rossi,Agustín Rossi,GK,Argentina,Boca Juniors
D. Sánchez,Davinson Sánchez,CB,Colombia,Tottenham Hotspur
M. Cash,Matty Cash,RWB,Poland,Aston Villa
B. Pavard,Benjamin Pavard,CB,France,FC Bayern München
Pablo Fornals,Pablo Fornals Malla,CM,Spain,West Ham United
N. Mukiele,Nordi Mukiele,CB,France,Paris Saint-Germain
N. Pépé,Nicolas Pépé,LW,Côte d'Ivoire,OGC Nice
A. Golovin,Alexandr Golovin,CAM,Russia,AS Monaco
David García,David García Zubiria,CB,Spain,CA Osasuna
E. Skhiri,Ellyes Skhiri,CDM,Tunisia,1. FC Köln
A. Marušić,Adam Marušić,LB,Montenegro,Lazio
W. Weghorst,Wout Weghorst,ST,Netherlands,Beşiktaş JK
J. Omlin,Jonas Omlin,GK,Switzerland,Montpellier Hérault SC
J. Weigl,Julian Weigl,CDM,Germany,Borussia Mönchengladbach
D. van de Beek,Donny van de Beek,CAM,Netherlands,Manchester United
D. Malen,Donyell Malen,ST,Netherlands,Borussia Dortmund
Rafa Mir,Rafael Mir Vicente,ST,Spain,Sevilla FC
B. White,Benjamin White,CDM,England,Arsenal
J. Bijlow,Justin Bijlow,GK,Netherlands,Feyenoord
S. Mandanda,Steve Mandanda,GK,France,Stade Rennais FC
J. Evans,Jonny Evans,CB,Northern Ireland,Leicester City
Joaquín,Joaquín Sánchez Rodríguez,CAM,Spain,Real Betis Balompié
D. Wass,Daniel Wass,CM,Denmark,Brøndby IF
Ó. Trejo,Óscar Trejo,CAM,Argentina,Rayo Vallecano
A. Witsel,Axel Witsel,CDM,Belgium,Atlético de Madrid
J. Hernández,Javier Hernández,ST,Mexico,LA Galaxy
Sergio Asenjo,Sergio Asenjo Andrés,GK,Spain,Real Valladolid CF
A. Modeste,Anthony Modeste,ST,France,Borussia Dortmund
F. Muslera,Fernando Muslera,GK,Uruguay,Galatasaray SK
G. Buffon,Gianluigi Buffon,GK,Italy,Parma
O. Wijndal,Owen Wijndal,LWB,Netherlands,Ajax
Reinildo,Reinildo Isnard Mandava,LB,Mozambique,Atlético de Madrid
Fran Beltrán,Francisco José Beltrán Peinado,CDM,Spain,RC Celta de Vigo
C. Ünder,Cengiz Ünder,RW,Turkey,Olympique de Marseille
Lucas Veríssimo,Lucas Veríssimo da Silva,CB,Brazil,SL Benfica
T. Ndombele,Tanguy Ndombele,CAM,France,Napoli
S. Özcan,Salih Özcan,CDM,Turkey,Borussia Dortmund
M. Lazzari,Manuel Lazzari,RM,Italy,Lazio
H. Aouar,Houssem Aouar,CAM,France,Olympique Lyonnais
J. Brekalo,Josip Brekalo,CAM,Croatia,VfL Wolfsburg
Diogo Costa,Diogo Meireles Costa,GK,Portugal,FC Porto
E. Reynoso,Emanuel Reynoso,CAM,Argentina,Minnesota United FC
Marcão,Marcos Nascimento Teixeira,CB,Brazil,Sevilla FC
D. Henderson,Dean Henderson,GK,England,Nottingham Forest
T. Tomiyasu,Takehiro Tomiyasu,CB,Japan,Arsenal
L. Jović,Luka Jović,ST,Serbia,Fiorentina
Pau López,Pau López Sabata,GK,Spain,Olympique de Marseille
R. Tapia,Renato Tapia,CDM,Peru,RC Celta de Vigo
L. de Jong,Luuk de Jong,ST,Netherlands,PSV
João Pedro,João Pedro G. Santos Galvão,CF,Italy,Fenerbahçe SK
K. Bellarabi,Karim Bellarabi,RM,Germany,Bayer 04 Leverkusen
J. Tarkowski,James Tarkowski,CB,England,Everton
Suso,Jesús Joaquín Fernández Sáez,CAM,Spain,Sevilla FC
J. Draxler,Julian Draxler,CAM,Germany,SL Benfica
C. Coady,Conor Coady,CB,England,Everton
Felipe Anderson,Felipe Anderson Pereira Gomes,RW,Brazil,Lazio
J. Veretout,Jordan Veretout,CDM,France,Olympique de Marseille
Ismaily,Ismaily Gonçalves dos S.,LB,Brazil,LOSC Lille
A. Marchesín,Agustín Marchesín,GK,Argentina,RC Celta de Vigo
L. Dunk,Lewis Dunk,CB,England,Brighton & Hove Albion
M. Sels,Matz Sels,GK,Belgium,RC Strasbourg Alsace
G. Xhaka,Granit Xhaka,CDM,Switzerland,Arsenal
M. Riemann,Manuel Riemann,GK,Germany,VfL Bochum 1848
Sérgio Oliveira,Sérgio Miguel Relvas de Oliveira,CM,Portugal,Galatasaray SK
M. Zaccagni,Mattia Zaccagni,LW,Italy,Lazio
M. Perin,Mattia Perin,GK,Italy,Juventus
Juanmi,Juan Miguel Jiménez López,RW,Spain,Real Betis Balompié
N. Lodeiro,Nicolás Lodeiro,CAM,Uruguay,Seattle Sounders FC
C. Wilson,Callum Wilson,ST,England,Newcastle United
Y. Rakitskyi,Yaroslav Rakitskyi,CB,Ukraine,Adana Demirspor
D. Ings,Danny Ings,ST,England,Aston Villa
N. Gudelj,Nemanja Gudelj,CDM,Serbia,Sevilla FC
Marcos Alonso,Marcos Alonso Mendoza,LB,Spain,FC Barcelona
Ander Herrera,Ander Herrera Agüera,CDM,Spain,Athletic Club de Bilbao
N. Matić,Nemanja Matić,CDM,Serbia,Roma
M. Silvestri,Marco Silvestri,GK,Italy,Udinese Calcio
M. Antonio,Michail Antonio,ST,Jamaica,West Ham United
B. André,Benjamin André,CDM,France,LOSC Lille
D. Klaassen,Davy Klaassen,CAM,Netherlands,Ajax
A. Florenzi,Alessandro Florenzi,RB,Italy,AC Milan
Héctor Bellerín,Héctor Bellerín Moruno,RB,Spain,FC Barcelona
A. Milik,Arkadiusz Milik,ST,Poland,Juventus
Munir,Munir El Haddadi,LM,Morocco,Getafe CF
L. Ajorque,Ludovic Ajorque,ST,France,RC Strasbourg Alsace
D. Djené,Dakonam Djené,CB,Togo,Getafe CF
D. Zappacosta,Davide Zappacosta,LWB,Italy,Atalanta
L. Zelarayán,Lucas Zelarayán,CAM,Armenia,Columbus Crew
F. Armani,Franco Armani,GK,Argentina,River Plate
Adama Traoré,Adama Traoré Diarra,RW,Spain,Wolverhampton Wanderers
João Mário,João Mário N. Costa Eduardo,CM,Portugal,SL Benfica
F. Bernardeschi,Federico Bernardeschi,RM,Italy,Toronto FC
P. Onuachu,Paul Ebere Onuachu,ST,Nigeria,KRC Genk
N. Stanciu,Nicolae Stanciu,CM,Romania,Wuhan Three Towns
Rubén García,Rubén García Santos,LM,Spain,CA Osasuna
C. Mbemba,Chancel Mbemba,CB,Congo DR,Olympique de Marseille
J. McGinn,John McGinn,CM,Scotland,Aston Villa
Jonny,Jonathan Castro Otto,LWB,Spain,Wolverhampton Wanderers
R. Ghezzal,Rachid Ghezzal,RW,Algeria,Beşiktaş JK
Clinton Mata,Clinton Mukoni Mata Pedro Lourenço,RB,Angola,Club Brugge KV
A. Januzaj,Adnan Januzaj,RW,Belgium,Sevilla FC
B. Djimsiti,Berat Djimsiti,CB,Albania,Atalanta
A. Doucouré,Abdoulaye Doucouré,CDM,Mali,Everton
Matheus,Matheus Lima Magalhães,GK,Brazil,SC Braga
M. Keane,Michael Keane,CB,England,Everton
L. Trossard,Leandro Trossard,LM,Belgium,Brighton & Hove Albion
Manu Trigueros,Manuel Trigueros Muñoz,CM,Spain,Villarreal CF
B. Davies,Ben Davies,CB,Wales,Tottenham Hotspur
S. Umtiti,Samuel Umtiti,CB,France,Lecce
Denis Suárez,Denis Suárez Fernández,CAM,Spain,RC Celta de Vigo
E. Lamela,Erik Lamela,RW,Argentina,Sevilla FC
Luiz Felipe,Luiz Felipe Ramos Marchi,CB,Italy,Real Betis Balompié
Jadson Bardeira,Jadson Bardeira Cunha,ST,Brazil,Sport Club Corinthians Paulista
A. Bayındır,Altay Bayındır,GK,Turkey,Fenerbahçe SK
Puado,Javier Puado Díaz,ST,Spain,RCD Espanyol de Barcelona
S. Diop,Sofiane Diop,CAM,France,OGC Nice
A. Bah,Alexander Bah,RB,Denmark,SL Benfica
J. Todibo,Jean-Clair Todibo,CB,France,OGC Nice
J. Álvarez,Julián Álvarez,CAM,Argentina,Manchester City
E. Fernández,Enzo Fernández,CM,Argentina,SL Benfica
A. Espino,Alfonso Espino,LB,Uruguay,Cádiz CF
Emerson Royal,Emerson Leite De Souza,RWB,Brazil,Tottenham Hotspur
T. Holeš,Tomáš Holeš,CDM,Czech Republic,SK Slavia Praha
C. De Ketelaere,Charles De Ketelaere,CAM,Belgium,AC Milan
Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,RM,Brazil,Arsenal
J. Veerman,Joey Veerman,CM,Netherlands,PSV
P. Kalulu,Pierre Kalulu,CB,France,AC Milan
P. Hincapié,Piero Hincapié,CB,Ecuador,Bayer 04 Leverkusen
Evanilson,F. Evanilson de Lima Barbosa,ST,Brazil,FC Porto
G. Mamardashvili,Giorgi Mamardashvili,GK,Georgia,Valencia CF
C. Hughes,Colin Hughes,LM,Wales,AFC Richmond
A. Dixon,Ash Dixon,RWB,England,AFC Richmond
T. Roberts,Tanaka Roberts,ST,Zimbabwe,AFC Richmond
M. Simakan,Mohamed Simakan,CB,France,RB Leipzig
B. Sosa,Borna Sosa,LWB,Croatia,VfB Stuttgart
J. Pavlenka,Jiří Pavlenka,GK,Czech Republic,SV Werder Bremen
A. Saelemaekers,Alexis Saelemaekers,RM,Belgium,AC Milan
Melendo,Óscar Melendo Jiménez,CAM,Spain,Granada CF
R. Kolo Muani,Randal Kolo Muani,ST,France,Eintracht Frankfurt
A. Haidara,Amadou Haidara,CM,Mali,RB Leipzig
Pedro Neto,Pedro Lomba Neto,CAM,Portugal,Wolverhampton Wanderers
M. Gómez,Maximiliano Gómez,ST,Uruguay,Trabzonspor
N. Lang,Noa Lang,CAM,Netherlands,Club Brugge KV
S. Kalajdžić,Saša Kalajdžić,ST,Austria,Wolverhampton Wanderers
G. Vicario,Guglielmo Vicario,GK,Italy,Empoli
N. De la Cruz,Nicolás De la Cruz,CAM,Uruguay,River Plate
C. Hudson-Odoi,Callum Hudson-Odoi,RM,England,Bayer 04 Leverkusen
H. Traorè,Hamed Junior Traorè,CAM,Côte d'Ivoire,U.S. Sassuolo Calcio
Junior Messias,Junior Messias,RW,Brazil,AC Milan
N. Vlašić,Nikola Vlašić,CAM,Croatia,Torino F.C.
M. Guéhi,Marc Guéhi,CB,England,Crystal Palace
E. Elmas,Eljif Elmas,CAM,North Macedonia,Napoli
P. Rajković,Predrag Rajković,GK,Serbia,RCD Mallorca
K. Mavropanos,Konstantinos Mavropanos,CB,Greece,VfB Stuttgart
C. Baumgartner,Christoph Baumgartner,CAM,Austria,TSG Hoffenheim
R. Faivre,Romain Faivre,CAM,France,Olympique Lyonnais
S. Gigot,Samuel Gigot,CB,France,Olympique de Marseille
G. Maripán,Guillermo Maripán,CB,Chile,AS Monaco
G. Simeone,Giovanni Simeone,ST,Argentina,Napoli
Paulinho,João Paulo Dias Fernandes,ST,Portugal,Sporting CP
T. Stepanenko,Taras Stepanenko,CDM,Ukraine,Shakhtar Donetsk
Portu,Cristian Portugues Manzanera,RM,Spain,Getafe CF
Juan Bernat,Juan Bernat Velasco,LB,Spain,Paris Saint-Germain
Mário Rui,Mário Rui Silva Duarte,LB,Portugal,Napoli
R. Ruidíaz,Raúl Ruidíaz,ST,Peru,Seattle Sounders FC
C. Dawson,Craig Dawson,CB,England,West Ham United
Víctor Ruiz,Víctor Ruiz Torre,CB,Spain,Real Betis Balompié
R. Pereyra,Roberto Pereyra,CM,Argentina,Udinese Calcio
Mario Gaspar,Mario Gaspar Pérez Martínez,RB,Spain,Watford
M. Rits,Mats Rits,CDM,Belgium,Club Brugge KV
M. Hitz,Marwin Hitz,GK,Switzerland,FC Basel 1893
B. Mee,Ben Mee,CB,England,Brentford
A. Cresswell,Aaron Cresswell,LB,England,West Ham United
G. Bonaventura,Giacomo Bonaventura,CM,Italy,Fiorentina
F. Caputo,Francesco Caputo,ST,Italy,U.C. Sampdoria
O. Ighalo,Odion Ighalo,ST,Nigeria,Al Hilal
M. Özil,Mesut Özil,CAM,Germany,İstanbul Başakşehir FK
C. Bravo,Claudio Bravo,GK,Chile,Real Betis Balompié
S. Romero,Sergio Romero,GK,Argentina,Boca Juniors
A. Plea,Alassane Plea,CAM,France,Borussia Mönchengladbach
P. Bamford,Patrick Bamford,ST,England,Leeds United
J. Lingard,Jesse Lingard,CAM,England,Nottingham Forest
S. Dimitrievski,Stole Dimitrievski,GK,North Macedonia,Rayo Vallecano
M. Cornet,Maxwel Cornet,ST,Côte d'Ivoire,West Ham United
A. Mitrović,Aleksandar Mitrović,ST,Serbia,Fulham
L. Alario,Lucas Alario,ST,Argentina,Eintracht Frankfurt
E. Rigoni,Emiliano Rigoni,RM,Argentina,Austin FC
A. Miranchuk,Alexey Miranchuk,CAM,Russia,Torino F.C.
T. Strakosha,Thomas Strakosha,GK,Albania,Brentford
Gilberto,Gilberto Moraes Júnior,RB,Brazil,SL Benfica
P. Gollini,Pierluigi Gollini,GK,Italy,Fiorentina
Rubén Peña,Rubén Peña Jiménez,RB,Spain,CA Osasuna
J. Martínez,Josef Martínez,ST,Venezuela,Atlanta United
M. Halstenberg,Marcel Halstenberg,CB,Germany,RB Leipzig
J. Quintero,Juan Fernando Quintero,CAM,Colombia,River Plate
Pacheco,Fernando Pacheco Flores,GK,Spain,Unión Deportiva Almería
Romarinho,Romário Ricardo da Silva,CF,Brazil,Al Ittihad
N. Aké,Nathan Aké,CB,Netherlands,Manchester City
Óliver Torres,Óliver Torres Muñoz,CM,Spain,Sevilla FC
J. Hector,Jonas Hector,LB,Germany,1. FC Köln
J. Veltman,Joël Veltman,CB,Netherlands,Brighton & Hove Albion
M. Kean,Moise Kean,ST,Italy,Juventus
M. Senesi,Marcos Senesi,CB,Argentina,AFC Bournemouth
J. Milner,James Milner,CDM,England,Liverpool
S. Aurier,Serge Aurier,RB,Côte d'Ivoire,Nottingham Forest
E. Pérez,Enzo Pérez,CDM,Argentina,River Plate
J. Tavernier,James Tavernier,RB,England,Rangers FC
M. Faraoni,Marco Davide Faraoni,RWB,Italy,Hellas Verona
Willian José,Willian José da Silva,ST,Brazil,Real Betis Balompié
Pablo Maffeo,Pablo Maffeo Becerra,RB,Spain,RCD Mallorca
O. Watkins,Ollie Watkins,ST,England,Aston Villa
T. Castagne,Timothy Castagne,RWB,Belgium,Leicester City
F. Cervi,Franco Cervi,LM,Argentina,RC Celta de Vigo
E. Ünal,Enes Ünal,ST,Turkey,Getafe CF
G. Arias,Gabriel Arias,GK,Chile,Racing Club
S. Rochet,Sergio Rochet,GK,Uruguay,Club Nacional de Football
V. Rongier,Valentin Rongier,CDM,France,Olympique de Marseille
A. Nübel,Alexander Nübel,GK,Germany,AS Monaco
Sergio Herrera,Sergio Herrera Pirón,GK,Spain,CA Osasuna
M. Lopez,Maxime Lopez,CAM,France,U.S. Sassuolo Calcio
K. Toko Ekambi,Karl Toko Ekambi,LM,Cameroon,Olympique Lyonnais
R. Bensebaini,Ramy Bensebaini,LB,Algeria,Borussia Mönchengladbach
A. Meret,Alex Meret,GK,Italy,Napoli
D. Ćaleta-Car,Duje Ćaleta-Car,CB,Croatia,Southampton
G. Krychowiak,Grzegorz Krychowiak,CDM,Poland,Al Shabab
D. D'Ambrosio,Danilo D'Ambrosio,CB,Italy,Inter
Douglas Luiz,Douglas Luiz Soares de Paulo,CM,Brazil,Aston Villa
M. Ryan,Mathew Ryan,GK,Australia,F.C. København
S. Driussi,Sebastián Driussi,CAM,Argentina,Austin FC
R. Borré,Rafael Santos Borré,ST,Colombia,Eintracht Frankfurt
S. Benrahma,Saïd Benrahma,LM,Algeria,West Ham United
J. Brooks,John Brooks,CB,United States,SL Benfica
Pozuelo,Alejandro Pozuelo Melero,CAM,Spain,Inter Miami CF
A. Carrillo,André Carrillo,RW,Peru,Al Hilal
G. Caprari,Gianluca Caprari,CAM,Italy,AC Monza
W. Boly,Willy Boly,CB,Côte d'Ivoire,Nottingham Forest
Fernando,Fernando Lucas Martins,CDM,Brazil,Antalyaspor
T. Meunier,Thomas Meunier,RB,Belgium,Borussia Dortmund
M. Rojo,Marcos Rojo,CB,Argentina,Boca Juniors
A. Mandi,Aïssa Mandi,CB,Algeria,Villarreal CF
S. Rode,Sebastian Rode,CDM,Germany,Eintracht Frankfurt
L. Unnerstall,Lars Unnerstall,GK,Germany,FC Twente
Campaña,José Gómez Campaña,CM,Spain,Levante Unión Deportiva
G. Trauner,Gernot Trauner,CB,Austria,Feyenoord
D. Praet,Dennis Praet,CAM,Belgium,Leicester City
